date,customer_id,product_category,payment_method,value [USD],time_on_site [Minutes],clicks_in_site,marketing_channel
23/11/2020,18251,515,credit,105.02,19.8,16,Organic/Direct
23/11/2020,12135,505,paypal,80.83,29,8,Organic/Direct
23/11/2020,10576,509,credit,108.04,20.9,12,YouTube Ads
23/11/2020,12684,507,credit,17.86,8.6,7,Organic/Direct
23/11/2020,14211,513,credit,305.29,27.8,20,Email Marketing
23/11/2020,16547,509,paypal,108.18,36.1,13,Facebook Ads
23/11/2020,17563,505,credit,95.28,25.2,10,Email Marketing
23/11/2020,15484,510,credit,4.01,2.7,6,Organic/Direct
23/11/2020,17898,512,credit,200,12.3,25,Google Search Ads
23/11/2020,17453,508,paypal,385.52,33.6,23,Facebook Ads
23/11/2020,1015,504,paypal,129.91,28.2,18,Email Marketing
23/11/2020,5806,512,credit,165.98,26.9,16,Google Search Ads
23/11/2020,8131,508,paypal,441.39,37.9,12,Email Marketing
23/11/2020,16013,513,paypal,14.34,70,7,Google Search Ads
23/11/2020,19575,515,credit,341.51,25.4,7,Facebook Ads
23/11/2020,5061,514,credit,90.91,11.5,13,Google Search Ads
23/11/2020,16865,507,credit,74,30.7,13,YouTube Ads
23/11/2020,19610,509,credit,297.49,31.3,7,Google Search Ads
23/11/2020,13348,509,paypal,49.72,14.4,8,Facebook Ads
23/11/2020,19245,515,paypal,89.69,10.2,12,Email Marketing
23/11/2020,15317,508,credit,64.29,138.4,12,Google Search Ads
23/11/2020,8529,507,credit,12.18,8.9,6,Organic/Direct
23/11/2020,16109,503,credit,200.2,29.3,19,Facebook Ads
23/11/2020,10011,508,paypal,276.58,28.2,25,YouTube Ads
23/11/2020,8285,501,credit,92.11,14.8,7,YouTube Ads
23/11/2020,16742,503,credit,115.71,13.8,12,Email Marketing
23/11/2020,15425,507,credit,8.05,10.6,7,Facebook Ads
23/11/2020,937,515,credit,240.17,9.5,21,YouTube Ads
23/11/2020,5728,514,credit,228.02,9.4,19,Facebook Ads
23/11/2020,16223,505,credit,267.67,13.3,7,YouTube Ads
23/11/2020,7736,506,credit,468.88,30.6,13,Facebook Ads
23/11/2020,7779,502,paypal,193.77,6.6,23,YouTube Ads
23/11/2020,15566,513,credit,361.91,29.6,20,Facebook Ads
23/11/2020,17738,510,credit,15.02,4.5,8,Email Marketing
23/11/2020,17226,513,credit,420.88,85.4,22,Google Search Ads
23/11/2020,19741,502,paypal,72.2,7.3,8,YouTube Ads
23/11/2020,16394,511,credit,280.96,10,17,Facebook Ads
23/11/2020,13254,508,credit,173.17,51.5,21,YouTube Ads
23/11/2020,13963,501,credit,489.21,14.2,50,Email Marketing
23/11/2020,11231,511,credit,708.86,71.1,18,Organic/Direct
23/11/2020,4979,502,paypal,15.04,72.5,7,Facebook Ads
23/11/2020,18406,503,paypal,128.71,54.5,11,Google Search Ads
23/11/2020,5861,508,credit,584.35,83.7,53,YouTube Ads
23/11/2020,5917,514,paypal,231.14,16.6,20,Google Search Ads
23/11/2020,15095,501,paypal,236.96,11.6,24,Organic/Direct
23/11/2020,11642,510,credit,281.86,48.6,15,Organic/Direct
23/11/2020,16232,507,credit,337.98,33,21,YouTube Ads
23/11/2020,9578,506,credit,1107.58,22.5,17,Google Search Ads
23/11/2020,9955,506,paypal,52.92,18.3,9,YouTube Ads
23/11/2020,14393,504,credit,129.23,13.7,15,Organic/Direct
23/11/2020,7765,504,paypal,42.17,6.7,9,Email Marketing
23/11/2020,18984,515,paypal,183.27,11.5,17,Email Marketing
23/11/2020,4469,512,credit,258.63,74.2,30,Facebook Ads
23/11/2020,19130,501,paypal,57.94,14,7,YouTube Ads
23/11/2020,18281,507,credit,61.33,12.2,12,Organic/Direct
23/11/2020,3624,504,credit,36.03,43.2,9,Facebook Ads
23/11/2020,17737,515,credit,166.62,40.8,15,Google Search Ads
23/11/2020,13397,507,paypal,128.82,169.2,18,YouTube Ads
23/11/2020,15889,502,paypal,181.24,20.8,13,Facebook Ads
23/11/2020,12714,510,paypal,761.52,88.6,59,Google Search Ads
23/11/2020,229,514,credit,251.83,26.4,16,Facebook Ads
23/11/2020,2140,514,credit,1.89,7.5,6,Organic/Direct
23/11/2020,16621,503,credit,76.38,3.3,8,Organic/Direct
23/11/2020,14007,512,credit,262.35,36.3,16,Email Marketing
23/11/2020,8383,507,credit,105,34.5,9,YouTube Ads
23/11/2020,14532,502,paypal,104.34,6.6,16,Facebook Ads
23/11/2020,15314,514,credit,33.1,5.9,6,Organic/Direct
23/11/2020,8744,509,credit,10.99,32.7,7,Google Search Ads
23/11/2020,5614,506,paypal,50.04,23.1,11,YouTube Ads
23/11/2020,10926,504,paypal,95.96,25.7,10,Google Search Ads
23/11/2020,7697,514,credit,41.36,22.8,7,Organic/Direct
23/11/2020,14995,504,paypal,108.92,19.6,11,Facebook Ads
23/11/2020,3141,511,paypal,34.59,9.1,9,Organic/Direct
23/11/2020,4283,504,credit,26.69,20,6,Facebook Ads
23/11/2020,4924,515,credit,339.09,16.4,0,Google Search Ads
23/11/2020,4242,511,credit,65.8,8.6,12,Organic/Direct
23/11/2020,19175,515,paypal,49.22,16,0,Email Marketing
23/11/2020,17767,513,credit,108.8,56.9,0,Email Marketing
23/11/2020,2807,507,paypal,703.12,38.5,0,Facebook Ads
23/11/2020,13117,501,paypal,25.88,6.5,0,Google Search Ads
23/11/2020,7283,507,credit,391.79,21.1,0,Google Search Ads
23/11/2020,17311,505,paypal,90.8,19.7,0,Facebook Ads
23/11/2020,18849,509,credit,49.5,20.1,0,Organic/Direct
23/11/2020,18290,505,credit,412.93,47.8,0,Google Search Ads
23/11/2020,846,507,paypal,158.44,10.1,0,Facebook Ads
23/11/2020,3036,510,credit,159.34,27.5,0,YouTube Ads
23/11/2020,2917,501,paypal,26.31,2.9,0,Facebook Ads
23/11/2020,18926,504,credit,233.03,11.7,0,Google Search Ads
23/11/2020,13784,506,credit,863.48,12,0,Organic/Direct
23/11/2020,1080,503,paypal,24.65,24.5,0,Organic/Direct
23/11/2020,1202,501,paypal,102.52,91.1,0,YouTube Ads
23/11/2020,16202,515,credit,639.27,77.8,0,Organic/Direct
23/11/2020,1470,501,credit,405.11,43.6,0,Facebook Ads
23/11/2020,19044,502,credit,3.69,17.7,0,Facebook Ads
23/11/2020,17358,506,paypal,129.82,11.5,14,Facebook Ads
23/11/2020,7635,511,paypal,193.15,19.9,14,Facebook Ads
23/11/2020,15054,511,credit,55.51,2.3,9,Facebook Ads
23/11/2020,6338,515,credit,332.87,40.6,0,Facebook Ads
23/11/2020,2129,508,credit,88.32,27.7,14,Facebook Ads
23/11/2020,13245,501,paypal,137.03,13.2,9,Facebook Ads
23/11/2020,523,513,paypal,9.25,47.6,7,Facebook Ads
23/11/2020,2861,505,paypal,10.94,14.4,7,Facebook Ads
23/11/2020,19092,510,paypal,634.69,59.6,13,Facebook Ads
23/11/2020,13708,509,credit,81.59,17,9,Facebook Ads
23/11/2020,3623,514,credit,170.82,27.1,13,Facebook Ads
23/11/2020,13090,510,paypal,14.22,7.8,7,Facebook Ads
23/11/2020,15698,501,credit,221.33,9.5,20,Facebook Ads
23/11/2020,363,508,paypal,192.23,10.5,7,Facebook Ads
23/11/2020,17111,508,credit,176.65,5.1,16,Facebook Ads
23/11/2020,9179,511,credit,2.55,2.3,6,Facebook Ads
23/11/2020,4410,501,credit,44.82,4.2,7,Facebook Ads
23/11/2020,590,508,credit,346.64,34.1,38,Facebook Ads
23/11/2020,1193,513,credit,68.1,35,10,Facebook Ads
23/11/2020,2466,503,credit,92.82,53.3,7,Facebook Ads
23/11/2020,3739,504,paypal,320.24,8,0,Facebook Ads
23/11/2020,2427,507,paypal,127.55,18.3,15,Facebook Ads
23/11/2020,4869,511,credit,240.82,44.9,25,Facebook Ads
23/11/2020,2710,501,paypal,30.47,11.7,7,Facebook Ads
23/11/2020,5245,502,paypal,178.66,5.7,8,Facebook Ads
23/11/2020,6339,513,paypal,162.71,23.6,17,Facebook Ads
23/11/2020,16942,502,credit,13.78,14.4,7,Facebook Ads
23/11/2020,7194,509,paypal,16.6,23.7,7,Facebook Ads
23/11/2020,10981,509,paypal,148.83,14.1,9,Facebook Ads
23/11/2020,3770,515,paypal,10.97,32.2,7,Facebook Ads
23/11/2020,10463,511,paypal,126.87,33.7,16,Facebook Ads
23/11/2020,1165,502,credit,72.63,20.7,9,Facebook Ads
23/11/2020,14832,501,credit,396.64,78.6,16,Facebook Ads
23/11/2020,14880,510,credit,0.46,35.2,6,Facebook Ads
23/11/2020,18063,501,paypal,21.29,20.1,7,Facebook Ads
23/11/2020,1666,501,credit,124.48,32.8,12,Facebook Ads
23/11/2020,11213,511,credit,99.55,31.1,11,Facebook Ads
23/11/2020,18417,502,paypal,601.53,66.4,19,Facebook Ads
23/11/2020,17882,509,credit,52.46,19.4,9,Facebook Ads
23/11/2020,1907,506,paypal,222.19,14.3,27,Facebook Ads
23/11/2020,1206,505,paypal,82.11,7.7,13,Facebook Ads
23/11/2020,16176,510,credit,284.2,21.3,30,Facebook Ads
23/11/2020,4075,504,paypal,463.07,49,24,Facebook Ads
23/11/2020,6314,501,paypal,486.79,23.2,50,Facebook Ads
23/11/2020,10245,508,credit,22.23,18.9,6,Facebook Ads
23/11/2020,19008,513,paypal,574.62,22,24,Facebook Ads
23/11/2020,3522,502,credit,437.39,20,31,Facebook Ads
23/11/2020,159,515,paypal,258.81,12.3,22,Facebook Ads
23/11/2020,11775,502,paypal,14.48,9,7,Facebook Ads
23/11/2020,4126,515,paypal,27.83,15.5,8,Facebook Ads
23/11/2020,15089,504,paypal,3.49,17.9,6,Facebook Ads
23/11/2020,9274,504,credit,118.44,26.1,6,Facebook Ads
23/11/2020,1822,513,paypal,804.5,24.2,64,Facebook Ads
23/11/2020,12968,511,credit,186.46,20.7,13,Facebook Ads
23/11/2020,14863,512,credit,53.92,11.1,10,Facebook Ads
23/11/2020,7653,511,credit,32.27,13.1,7,Facebook Ads
23/11/2020,13893,514,paypal,428.11,38.2,20,Facebook Ads
23/11/2020,8662,512,paypal,56.74,28,10,Facebook Ads
23/11/2020,7130,506,credit,42.31,8.3,8,Facebook Ads
23/11/2020,3942,504,paypal,30.63,19.7,7,Facebook Ads
23/11/2020,787,502,paypal,187.83,20.6,12,Facebook Ads
23/11/2020,9160,508,credit,305.9,9.5,19,Facebook Ads
23/11/2020,5545,514,credit,120.62,11.5,11,Facebook Ads
23/11/2020,1141,510,credit,178.36,12.6,0,Facebook Ads
23/11/2020,16134,515,credit,81.85,28.6,6,Facebook Ads
23/11/2020,6843,504,credit,33.57,8.4,7,Facebook Ads
23/11/2020,16890,505,credit,40.88,10.6,9,Facebook Ads
23/11/2020,6995,513,paypal,99.62,70.2,11,Facebook Ads
23/11/2020,19119,510,paypal,113.14,14.1,9,Facebook Ads
23/11/2020,6389,511,credit,41.3,7.6,7,Facebook Ads
23/11/2020,10060,505,paypal,73.52,8.9,10,Facebook Ads
23/11/2020,840,507,credit,121.02,80.6,14,Facebook Ads
23/11/2020,5841,513,credit,248.72,11.3,17,Facebook Ads
23/11/2020,7056,510,paypal,247.07,37.9,29,Facebook Ads
23/11/2020,6936,515,credit,168.78,32.3,23,Facebook Ads
23/11/2020,2954,513,paypal,182.66,62.1,23,Facebook Ads
23/11/2020,17005,501,paypal,404.42,22.4,29,Facebook Ads
23/11/2020,7030,504,credit,20.96,11.4,8,Facebook Ads
23/11/2020,2981,515,credit,40.74,11.7,9,Facebook Ads
23/11/2020,196,511,paypal,317.21,19,10,Facebook Ads
23/11/2020,6717,505,paypal,525.83,32.8,26,Facebook Ads
23/11/2020,4499,507,paypal,131.65,9.8,12,Facebook Ads
23/11/2020,17463,512,credit,235.35,13.5,23,Facebook Ads
23/11/2020,8230,514,paypal,133.28,37.5,19,Facebook Ads
23/11/2020,8444,515,credit,20.65,43.8,7,Facebook Ads
23/11/2020,2346,503,credit,42.33,6.1,9,Facebook Ads
23/11/2020,2265,514,credit,263.07,16.9,11,Facebook Ads
23/11/2020,4403,514,credit,443.98,27.1,39,Facebook Ads
23/11/2020,2165,510,paypal,856.33,50.6,75,Facebook Ads
23/11/2020,5168,513,paypal,272.15,55,12,Facebook Ads
23/11/2020,16094,501,credit,98.51,12.7,10,Facebook Ads
23/11/2020,4038,503,credit,153.38,30.3,19,Facebook Ads
23/11/2020,2250,508,credit,1052.83,116.5,93,Facebook Ads
23/11/2020,7754,508,paypal,200.06,24.7,7,Facebook Ads
23/11/2020,16489,506,credit,901.1,25.5,96,Facebook Ads
23/11/2020,7242,512,credit,105.62,21.4,16,Facebook Ads
23/11/2020,12122,507,paypal,38.89,8.8,8,Facebook Ads
23/11/2020,1187,514,paypal,98.43,16.5,11,Facebook Ads
23/11/2020,13316,504,paypal,7.52,35.4,7,Facebook Ads
23/11/2020,3908,503,credit,124.95,3.1,15,Facebook Ads
23/11/2020,16991,511,paypal,15.1,18.1,7,Facebook Ads
23/11/2020,12912,515,credit,5.19,9.4,6,Facebook Ads
23/11/2020,11857,501,paypal,202.48,27.6,13,Facebook Ads
23/11/2020,2501,509,credit,74.8,4,12,Facebook Ads
23/11/2020,6106,509,paypal,211.64,41.8,12,Facebook Ads
23/11/2020,2806,502,paypal,243.35,45.7,11,Facebook Ads
23/11/2020,5726,510,credit,79.22,9.6,12,Facebook Ads
23/11/2020,16049,513,credit,562.74,12.3,22,Facebook Ads
23/11/2020,15899,506,credit,242.23,15.4,21,Facebook Ads
23/11/2020,15916,513,credit,268.65,22,17,Facebook Ads
23/11/2020,19020,515,credit,36.86,16.4,10,Facebook Ads
23/11/2020,3257,507,paypal,142.44,24.7,14,Facebook Ads
23/11/2020,13177,501,credit,47.55,29,10,Facebook Ads
23/11/2020,1402,503,credit,152.9,33.6,7,Facebook Ads
23/11/2020,1708,511,paypal,33.98,18.3,6,Facebook Ads
23/11/2020,4498,506,paypal,721.35,65,18,Facebook Ads
23/11/2020,12117,501,paypal,39.37,28.8,7,Facebook Ads
23/11/2020,19978,509,paypal,175.61,17.6,8,Facebook Ads
23/11/2020,7893,514,paypal,270.57,29,13,Facebook Ads
23/11/2020,7815,509,credit,74.38,22,13,Facebook Ads
23/11/2020,16546,508,paypal,61.99,27.4,7,Facebook Ads
23/11/2020,1527,506,credit,45.85,7.8,8,Facebook Ads
23/11/2020,14490,510,paypal,125.63,47.8,13,Facebook Ads
23/11/2020,13567,506,credit,0.05,5.4,6,Facebook Ads
23/11/2020,17940,512,credit,126.56,21.7,14,Facebook Ads
23/11/2020,195,513,credit,8.67,25.2,6,Facebook Ads
23/11/2020,18299,512,credit,128,34.5,17,Facebook Ads
23/11/2020,18504,514,paypal,352.15,33,35,Facebook Ads
23/11/2020,18122,515,credit,1053.34,72,54,Facebook Ads
23/11/2020,6850,508,paypal,94.34,9.1,14,Facebook Ads
23/11/2020,19957,503,paypal,390.92,65.5,20,Facebook Ads
23/11/2020,9584,508,paypal,375.29,41.6,10,Facebook Ads
23/11/2020,13346,515,paypal,74.52,6.3,9,Facebook Ads
23/11/2020,14634,504,credit,215.75,24,15,Facebook Ads
23/11/2020,1987,501,credit,285.59,25.6,11,Facebook Ads
23/11/2020,13825,504,paypal,249.26,21.1,8,Facebook Ads
23/11/2020,14205,507,paypal,61.9,24.2,9,Facebook Ads
23/11/2020,1893,507,paypal,47.4,4.1,10,Facebook Ads
23/11/2020,3426,506,paypal,14.12,28.8,6,Facebook Ads
23/11/2020,3926,509,paypal,102.72,24.5,12,Facebook Ads
23/11/2020,18637,509,paypal,110.07,22.6,12,Facebook Ads
23/11/2020,9991,503,paypal,150.7,25.3,18,Facebook Ads
23/11/2020,17976,508,credit,189.97,71.8,20,Facebook Ads
23/11/2020,2781,514,paypal,39,21.1,9,Facebook Ads
23/11/2020,11356,513,paypal,39.78,15.8,9,Facebook Ads
23/11/2020,12768,504,paypal,85.86,37.5,11,Facebook Ads
23/11/2020,16297,515,credit,227.96,15.7,8,Facebook Ads
23/11/2020,1177,503,paypal,365,17.7,38,Facebook Ads
23/11/2020,132,512,credit,316.04,54.8,6,Facebook Ads
23/11/2020,6280,501,paypal,142.15,23.1,8,Facebook Ads
23/11/2020,3922,515,paypal,5.53,33.7,6,Facebook Ads
23/11/2020,8976,511,paypal,130.55,37.8,16,Facebook Ads
23/11/2020,11892,507,credit,172.22,9.5,9,Facebook Ads
23/11/2020,19884,502,credit,253.22,9.1,13,Facebook Ads
23/11/2020,2740,514,paypal,1.94,15.9,6,Facebook Ads
23/11/2020,3965,512,credit,79.67,9.2,11,Facebook Ads
23/11/2020,14154,514,credit,52.03,46.6,8,Facebook Ads
23/11/2020,18259,512,credit,223.66,26,20,Facebook Ads
23/11/2020,3001,513,credit,180.89,25.3,8,Facebook Ads
23/11/2020,11596,508,paypal,78.36,53.2,11,Facebook Ads
23/11/2020,2220,509,credit,42,19.9,6,Facebook Ads
23/11/2020,9048,506,paypal,117.89,27.8,16,Facebook Ads
23/11/2020,7374,510,paypal,216.65,43.8,18,Facebook Ads
23/11/2020,1845,514,paypal,118.38,9.6,11,Facebook Ads
23/11/2020,14445,512,credit,237.62,53.8,17,Facebook Ads
23/11/2020,18604,511,credit,133.1,13.5,8,Facebook Ads
23/11/2020,190,511,paypal,148.35,21.6,12,Facebook Ads
23/11/2020,2526,507,paypal,56.82,18.6,10,Facebook Ads
23/11/2020,3103,501,paypal,7.51,12.5,6,Facebook Ads
23/11/2020,7648,515,paypal,50.31,3.6,7,Facebook Ads
23/11/2020,17544,508,credit,180.92,20.3,19,Facebook Ads
23/11/2020,9839,513,paypal,160.93,23,19,Facebook Ads
23/11/2020,5498,507,credit,98.16,21.6,15,Facebook Ads
23/11/2020,12556,505,paypal,574.41,17.7,37,Facebook Ads
23/11/2020,11010,511,credit,21.52,41.2,7,Facebook Ads
23/11/2020,7864,511,paypal,61.63,7.4,11,Facebook Ads
23/11/2020,11440,501,credit,7.68,38.5,7,Facebook Ads
23/11/2020,5508,515,paypal,97.23,19.8,8,Facebook Ads
23/11/2020,10271,506,paypal,199.41,13.4,17,Facebook Ads
23/11/2020,4572,514,paypal,113.22,20.9,11,Facebook Ads
23/11/2020,2579,507,paypal,144.67,4,20,Facebook Ads
23/11/2020,8851,507,paypal,309.37,18.2,12,Facebook Ads
23/11/2020,6626,501,paypal,77.02,10.5,9,Facebook Ads
23/11/2020,3437,509,paypal,168.03,9,19,Facebook Ads
23/11/2020,18230,501,paypal,182.68,34.1,14,Facebook Ads
23/11/2020,1065,515,paypal,165.71,9.5,10,Facebook Ads
23/11/2020,6482,505,credit,29.17,16.5,7,Facebook Ads
23/11/2020,16651,505,credit,31.85,15.8,9,Facebook Ads
23/11/2020,12262,508,paypal,653.71,60.9,66,Facebook Ads
23/11/2020,4852,503,paypal,99.53,8.1,13,Facebook Ads
23/11/2020,5342,507,paypal,412.06,34.7,32,Facebook Ads
23/11/2020,18429,513,paypal,438.54,37.5,13,Facebook Ads
23/11/2020,235,501,paypal,158.19,94,19,Facebook Ads
23/11/2020,2781,512,credit,32.19,42.4,6,Facebook Ads
23/11/2020,4068,509,credit,271.37,22.9,13,Facebook Ads
23/11/2020,1546,514,paypal,91.11,50.8,14,Facebook Ads
23/11/2020,8438,506,paypal,188.62,62,7,Facebook Ads
23/11/2020,19641,510,paypal,82.73,7.5,10,Facebook Ads
23/11/2020,4707,501,credit,107.84,14.6,9,Facebook Ads
23/11/2020,14130,515,paypal,4.32,7.4,6,Facebook Ads
23/11/2020,312,514,paypal,148.78,22.4,20,Facebook Ads
23/11/2020,9512,502,credit,405.23,6.9,11,Facebook Ads
23/11/2020,18943,510,paypal,248.26,11.4,27,Facebook Ads
23/11/2020,5896,510,paypal,236.6,27.1,8,Facebook Ads
23/11/2020,14001,513,paypal,1001.88,11.9,18,Facebook Ads
23/11/2020,11666,515,paypal,244.66,36.2,27,Facebook Ads
23/11/2020,19355,512,paypal,74.46,7.9,11,Facebook Ads
23/11/2020,19345,514,credit,228.82,28.9,21,Facebook Ads
23/11/2020,6975,513,credit,395.75,13.9,27,Facebook Ads
23/11/2020,6383,510,credit,262.3,44.1,31,Facebook Ads
23/11/2020,19439,510,credit,10.89,16.9,7,Facebook Ads
23/11/2020,7716,507,paypal,115.63,77.5,11,Facebook Ads
23/11/2020,6508,509,credit,108.64,18,10,Facebook Ads
23/11/2020,3817,510,credit,273.16,54.3,7,Facebook Ads
23/11/2020,5092,504,credit,380.57,34.3,27,Facebook Ads
23/11/2020,16950,503,credit,278.95,10.4,9,Facebook Ads
23/11/2020,16521,507,credit,23.91,4.7,7,Facebook Ads
23/11/2020,869,512,credit,363.91,52.4,8,Facebook Ads
23/11/2020,11019,506,paypal,138,13.3,6,Facebook Ads
23/11/2020,17221,504,credit,59.74,17.4,7,Facebook Ads
23/11/2020,6637,513,credit,183.22,15.1,23,Facebook Ads
23/11/2020,5588,513,paypal,30.82,36.7,6,Facebook Ads
23/11/2020,3328,509,credit,103.32,4.6,15,Facebook Ads
23/11/2020,12584,501,credit,1214.05,132.3,43,Facebook Ads
23/11/2020,7609,505,paypal,425.53,51.7,16,Facebook Ads
23/11/2020,12748,508,paypal,371.19,43.5,22,Facebook Ads
23/11/2020,19366,515,paypal,331.52,7.1,36,Facebook Ads
23/11/2020,12372,510,credit,97.95,49.4,11,Facebook Ads
23/11/2020,3534,510,paypal,155.27,12.5,19,Facebook Ads
23/11/2020,18910,504,credit,80.05,14.7,13,Facebook Ads
23/11/2020,18615,511,paypal,11.73,3.4,7,Facebook Ads
23/11/2020,15839,507,paypal,22.44,6.1,7,Facebook Ads
23/11/2020,2775,506,paypal,189.18,6.5,9,Facebook Ads
23/11/2020,6250,514,paypal,20.78,22.1,7,Facebook Ads
23/11/2020,9200,503,paypal,525.95,61.6,16,Facebook Ads
23/11/2020,3293,503,paypal,9.6,6.3,6,Facebook Ads
23/11/2020,8899,505,credit,110.35,14.7,13,Facebook Ads
23/11/2020,9362,506,paypal,187.34,55,9,Facebook Ads
23/11/2020,19530,508,credit,165.86,11.9,9,Facebook Ads
23/11/2020,7710,509,credit,661.61,35.9,35,Facebook Ads
23/11/2020,2820,502,credit,5.76,5.2,6,Facebook Ads
23/11/2020,4884,513,paypal,193.13,27.8,16,Facebook Ads
23/11/2020,16248,513,paypal,68.54,11.4,8,Facebook Ads
23/11/2020,1714,514,paypal,712.56,50.2,27,Facebook Ads
23/11/2020,8042,504,paypal,55.15,8.4,10,Facebook Ads
23/11/2020,1615,508,paypal,48.69,33.4,7,Facebook Ads
23/11/2020,2621,512,credit,84.83,14.9,9,Facebook Ads
23/11/2020,3724,510,paypal,127.21,20.3,17,Facebook Ads
23/11/2020,12384,504,paypal,211.83,40.4,10,Facebook Ads
23/11/2020,14326,513,paypal,391.81,15,20,Facebook Ads
23/11/2020,6117,513,credit,77.42,12.3,7,Facebook Ads
23/11/2020,16073,507,credit,431.3,71.9,33,Facebook Ads
23/11/2020,3222,513,credit,197.63,22.2,8,Facebook Ads
23/11/2020,2095,502,paypal,434.42,10.6,19,Facebook Ads
23/11/2020,18344,511,paypal,297.81,22.7,20,Facebook Ads
23/11/2020,16642,509,paypal,767.06,77.6,57,Facebook Ads
23/11/2020,3120,508,credit,16.52,13.4,6,Facebook Ads
23/11/2020,9871,501,paypal,155.65,16.5,9,Facebook Ads
23/11/2020,8788,513,paypal,106.24,5.2,6,Facebook Ads
23/11/2020,2929,514,paypal,81.66,17.3,12,Facebook Ads
23/11/2020,14474,501,paypal,176.39,15,15,Facebook Ads
23/11/2020,1977,513,paypal,214.79,33.3,12,Facebook Ads
23/11/2020,11769,506,paypal,39.41,16.8,10,Facebook Ads
23/11/2020,4739,512,paypal,70,13.5,13,Facebook Ads
23/11/2020,5773,511,paypal,52.09,77.5,6,Facebook Ads
23/11/2020,1580,502,paypal,565.36,47.2,53,Facebook Ads
23/11/2020,19273,501,credit,330.96,20.8,31,Facebook Ads
23/11/2020,2976,509,credit,18.08,71,8,Facebook Ads
23/11/2020,19202,503,credit,322.98,12.5,30,Facebook Ads
23/11/2020,5391,511,paypal,271.39,23.6,25,Facebook Ads
23/11/2020,4025,514,credit,215.51,23.7,25,Facebook Ads
23/11/2020,13381,510,credit,381.83,87.7,6,Facebook Ads
23/11/2020,13630,506,paypal,111.16,13.5,12,Facebook Ads
23/11/2020,18014,507,paypal,21.83,4,7,Facebook Ads
23/11/2020,4631,501,credit,128.09,15.8,13,Facebook Ads
23/11/2020,15195,509,credit,245.15,60.5,28,Facebook Ads
23/11/2020,4420,506,paypal,124.94,42.2,10,Facebook Ads
23/11/2020,1628,502,credit,228.9,32.6,7,Facebook Ads
23/11/2020,15471,514,paypal,55.59,11.2,9,Facebook Ads
23/11/2020,2762,514,credit,31.11,14.9,6,Facebook Ads
23/11/2020,12781,508,paypal,50.69,32.8,7,Facebook Ads
23/11/2020,1491,512,credit,36.65,20.3,6,Facebook Ads
23/11/2020,16774,514,paypal,68.34,4,11,Facebook Ads
23/11/2020,10113,504,credit,306.2,22.3,23,Facebook Ads
23/11/2020,5080,502,paypal,561.16,58.5,21,Facebook Ads
23/11/2020,15780,515,paypal,179.97,34.1,18,Facebook Ads
23/11/2020,4052,508,paypal,49.89,39.7,6,Facebook Ads
23/11/2020,6204,501,paypal,174.12,50.2,19,Facebook Ads
23/11/2020,16587,509,paypal,50.53,25.5,10,Facebook Ads
23/11/2020,19267,508,credit,68.46,20.4,8,Facebook Ads
23/11/2020,872,510,credit,57.08,27.2,12,Facebook Ads
23/11/2020,13374,507,credit,142.29,17.9,7,Facebook Ads
23/11/2020,1241,511,paypal,179.56,31.8,21,Facebook Ads
